person_id,movie_id
381606,70731
56,70735
602,70735
1164,70735
1727,70735
869,70739
761212,70739
302,70794
1049,70794
641939,70794
643105,70794
649,70819
1719,70819
413559,70819
239816,70827
320760,70827
1657,70835
413559,70835
602,70903
226947,70903
608,70915
885,70915
5019,70915
47223,70916
103722,70916
5078,70919
28647,70919
1821,70928
1975,70928
25309,70928
977,70945
500038,70945
546755,70945
125,70948
1648,70948
52,70960
366,70960
298,71080
1301,71080
2145,71080
1321,71089
226947,71089
32,71110
947,71110
1421,71110
995,71115
1434,71115
6702,71133
273178,71133
1560,71154
275213,71154
377,71155
1642,71155
643,71162
1018,71162
587,71196
402032,71196
226583,71211
606688,71211
638,71216
643,71216
1158,71222
452288,71222
768334,71222
323,71229
587,71229
720890,71229
1424,71233
198072,71233
1821,71258
552863,71258
1285,71259
86706,71259
307255,71259
869,71260
1788,71260
1285,71269
1719,71269
919924,71269
1258,71288
790272,71288
1228,71292
492342,71292
1007,71312
915382,71312
197,71315
1159,71315
1379,71315
469,71334
385320,71334
893,71338
1765,71338
643105,71338
685,71358
934902,71358
432,71360
2078,71360
307255,71360
1800,71369
1967,71369
4365,71369
961,71370
1347,71370
102744,71379
554830,71379
1458,71385
1732,71385
489,71391
1058,71391
1330,71398
404455,71398
314,71402
306696,71402
444198,71402
1228,71424
1265,71424
1056,71438
98733,71438
572897,71438
706298,71438
32,71455
1421,71455
1638,71459
813961,71459
176,71483
88083,71483
1424,71508
198072,71508
1088,71519
1190,71519
108470,71519
809184,71519
273,71521
1001,71521
842794,71521
215,71524
493,71524
527,71524
306696,71524
649,71532
1001,71532
1381,71532
254,71550
320760,71550
164,71554
443,71554
1358,71554
134,71562
199,71562
380,71562
473,71562
1537,71566
226947,71566
2078,71575
5078,71575
452288,71575
602,71577
947,71577
1136,71577
1201,71577
331,71583
1938,71583
503627,71594
693420,71594
995,71598
138770,71598
1684,71599
598971,71599
88083,71648
320760,71648
336,71663
28674,71663
1186,71677
2096,71677
493271,71677
813961,71677
164,71706
1321,71706
1725,71706
376101,71706
163,71746
674781,71746
457,71760
1831,71760
722,71762
720890,71762
230,71772
1857,71772
101,71777
539976,71777
567899,71777
614963,71777
578,71780
977,71780
1100,71780
413559,71798
580357,71798
731772,71806
933361,71806
44,71838
164540,71838
940971,71838
92,71853
416,71853
1037,71853
1385,71853
2769,71864
144045,71864
1673,71867
6800,71867
2,71877
6,71877
125,71877
1215,71877
1768,71880
626259,71880
577,71902
684521,71902
733051,71902
733929,71902
1648,71910
275213,71910
685,71935
1703,71935
5078,71942
484399,71942
543547,71956
631877,71956
380,71960
947,71960
226583,71991
400998,71991
860233,71991
728,72007
707728,72007
237244,72025
784884,72025
493,72034
843,72034
757256,72034
933361,72034
728,72036
275213,72036
661,72107
722,72107
1285,72107
626259,72123
642198,72123
377,72130
516800,72130
552474,72130
761190,72130
428086,72189
823592,72189
1884,72206
761212,72206
443,72226
40472,72226
385757,72228
500038,72228
782978,72228
527,72251
1185,72251
1727,72251
267,72253
1725,72253
1719,72267
246004,72267
1018,72274
1167,72274
79,72281
1657,72281
142,72288
313,72288
507212,72288
52,72305
366,72305
56,72308
1159,72308
47,72364
846,72364
367,72368
598971,72368
493341,72386
733929,72386
961,72403
1283,72403
643105,72403
1285,72405
2145,72405
393,72417
1687,72417
698,72431
1404,72431
1967,72431
432,72435
880521,72435
1228,72594
452288,72594
580565,72594
643105,72594
947,72600
1725,72600
98733,72600
926919,72600
698,72608
1123,72608
1404,72608
164540,72653
461455,72653
608,72665
